product,title,price
carrots,"Fresh Baby-Cut Carrots, 1lb Bag",$1.24
carrots,"Fresh Baby-Cut Carrots, 2lb Bag",$2.44
carrots,"Fresh Carrots, 2 lb Bag",$1.54
carrots,"Organic Fresh Whole Carrots, 2 lb Bag",$1.96
carrots,"Fresh Whole Carrots, 5 lb Bag",$3.88
carrots,"Fresh Carrot Chips, 1 lb Bag",$1.77
carrots,"Fresh Shredded Carrots, 10 oz Bag",$1.77
carrots,"Great Value Sliced Carrots, Canned Carrots, 14.5 oz Can",$0.96
celery,"Fresh Celery Stalk, Each",Now $1.47
celery,"Fresh Celery Sticks, 20 oz Bag",$2.98
celery,"Marketside Fresh Celery Sticks, 1.6 oz, 4 Pack",$1.97
celery,"Fresh Celery Hearts, Each",$2.72
celery,"Organic Marketside Fresh Celery Stalk, Each",$2.46
celery,"Organic Fresh Celery Hearts, Each",$3.36
celery,"Fresh Cucumber, Each",$0.72
celery,"Fresh Mini Cucumbers, 16 oz",Now $1.77
celery,"Fresh Long English Cucumber, Each",$0.98
